id,username,password,email,nombre_completo,rol,activo,fecha_registro
48,user48,hashed_password,user48@hotel.com,Íngrid Buendía Puente,HUESPED,1,2024-09-26 16:11:17
49,user49,hashed_password,user49@hotel.com,Celestino del Campoy,HUESPED,1,2025-03-25 19:54:08
50,user50,hashed_password,user50@hotel.com,Fermín Gámez-Ródenas,HUESPED,1,2025-08-26 20:57:31
51,user51,hashed_password,user51@hotel.com,Julio de Torralba,HUESPED,1,2026-02-28 20:25:47
52,user52,hashed_password,user52@hotel.com,Haydée Sedano Ramón,HUESPED,1,2025-06-26 13:58:06
53,user53,hashed_password,user53@hotel.com,Luis Ayllón Fabregat,HUESPED,1,2025-07-16 20:47:34
54,user54,hashed_password,user54@hotel.com,Sandra Mascaró-Coello,RECEPCIONISTA,1,2025-06-29 23:43:43
55,user55,hashed_password,user55@hotel.com,Eulalia Olivares Pou,HUESPED,1,2024-08-04 06:09:45
56,user56,hashed_password,user56@hotel.com,Ramona de Uría,HUESPED,1,2025-12-25 17:28:00
57,user57,hashed_password,user57@hotel.com,Paola Ángel,HUESPED,1,2024-09-06 15:12:12
58,user58,hashed_password,user58@hotel.com,Rómulo del España,HUESPED,1,2024-09-19 02:02:07
59,user59,hashed_password,user59@hotel.com,Íngrid Riquelme Lozano,HUESPED,1,2024-06-22 01:23:01
60,user60,hashed_password,user60@hotel.com,Reyna de Vallés,HUESPED,1,2025-09-13 02:38:27
61,user61,hashed_password,user61@hotel.com,Clara Bermúdez-Gallart,ADMIN,1,2025-04-22 22:32:53
62,user62,hashed_password,user62@hotel.com,Adoración Zaragoza Murcia,HUESPED,1,2025-03-09 13:02:25
63,user63,hashed_password,user63@hotel.com,Florencia Mesa,HUESPED,1,2026-02-22 00:56:30
64,user64,hashed_password,user64@hotel.com,Nacio Noguera Valderrama,HUESPED,1,2025-07-24 12:31:40
65,user65,hashed_password,user65@hotel.com,Gerardo Díez Belmonte,HUESPED,1,2025-04-28 08:05:21
66,user66,hashed_password,user66@hotel.com,Valentín Cadenas Riera,HUESPED,1,2024-06-13 05:28:30
67,user67,hashed_password,user67@hotel.com,Leonel Duarte Iglesia,HUESPED,1,2025-04-30 09:53:26
68,user68,hashed_password,user68@hotel.com,Augusto Vaquero Ródenas,HUESPED,1,2025-11-30 09:04:31
69,user69,hashed_password,user69@hotel.com,Leonel Torrents-Pedro,HUESPED,1,2025-08-26 02:42:09
70,user70,hashed_password,user70@hotel.com,Samuel Pazos,HUESPED,1,2024-09-16 23:46:16
71,user71,hashed_password,user71@hotel.com,Severo Abilio Lorenzo Silva,HUESPED,1,2024-12-15 09:00:26
72,user72,hashed_password,user72@hotel.com,Esperanza Armida Cuervo Ferrández,RECEPCIONISTA,1,2026-02-05 07:48:01
73,user73,hashed_password,user73@hotel.com,Judith Asenjo Antúnez,RECEPCIONISTA,1,2025-06-28 04:50:58
74,user74,hashed_password,user74@hotel.com,Yéssica Uría Guerra,HUESPED,1,2025-05-02 18:12:34
75,user75,hashed_password,user75@hotel.com,Fortunato Saura Huguet,HUESPED,1,2024-10-26 12:49:51
76,user76,hashed_password,user76@hotel.com,Ambrosio Reig Ferreras,HUESPED,1,2025-04-09 17:04:45
77,user77,hashed_password,user77@hotel.com,Tito Varela Serra,RECEPCIONISTA,1,2025-10-17 06:35:25
78,user78,hashed_password,user78@hotel.com,Abilio Antón Águila,HUESPED,1,2025-11-09 17:45:50
79,user79,hashed_password,user79@hotel.com,Ruth Iñiguez Barco,HUESPED,1,2026-04-27 22:08:30
80,user80,hashed_password,user80@hotel.com,Juan Pablo Mendizábal Verdú,HUESPED,1,2024-06-13 21:08:13
81,user81,hashed_password,user81@hotel.com,Lucía Carmona Benavent,HUESPED,1,2024-05-31 23:44:40
82,user82,hashed_password,user82@hotel.com,Adalberto del Acedo,HUESPED,1,2025-01-04 20:52:48
83,user83,hashed_password,user83@hotel.com,Jose Ignacio Hervás Folch,HUESPED,1,2025-12-13 04:27:55
84,user84,hashed_password,user84@hotel.com,Macario de Sandoval,RECEPCIONISTA,1,2025-05-13 23:02:58
85,user85,hashed_password,user85@hotel.com,Aurora Atienza Quero,HUESPED,1,2025-05-31 10:38:28
86,user86,hashed_password,user86@hotel.com,Pedro Trillo-Alvarado,HUESPED,1,2025-10-05 00:12:29
87,user87,hashed_password,user87@hotel.com,Eliana Lopez Maldonado,ADMIN,1,2024-11-19 06:22:42
88,user88,hashed_password,user88@hotel.com,Nazaret Alemany Puente,HUESPED,1,2025-03-20 06:51:53
89,user89,hashed_password,user89@hotel.com,Leonor Villalonga Chico,HUESPED,1,2025-08-18 18:34:01
90,user90,hashed_password,user90@hotel.com,Alex Revilla Herrera,HUESPED,1,2025-05-02 03:26:07
91,user91,hashed_password,user91@hotel.com,Liliana Castell Juliá,HUESPED,1,2026-02-12 16:24:10
92,user92,hashed_password,user92@hotel.com,Ignacia Olalla Aranda Urrutia,HUESPED,1,2024-10-29 08:26:17
93,user93,hashed_password,user93@hotel.com,Berta Tejedor Tolosa,HUESPED,1,2026-04-27 06:17:11
94,user94,hashed_password,user94@hotel.com,Soledad del Pinilla,HUESPED,1,2024-08-20 01:43:14
95,user95,hashed_password,user95@hotel.com,Lilia Tejedor Pont,HUESPED,1,2024-11-10 07:12:33
96,user96,hashed_password,user96@hotel.com,Saturnina Ariza Hidalgo,HUESPED,1,2025-04-19 07:50:31
97,user97,hashed_password,user97@hotel.com,Cruz Plana Sarmiento,ADMIN,1,2024-09-25 10:56:03
98,user98,hashed_password,user98@hotel.com,José Antonio Luis Gisbert Salvà,HUESPED,1,2025-01-03 15:38:40
99,user99,hashed_password,user99@hotel.com,Josefa Quero Rodrigo,ADMIN,1,2025-07-10 07:23:49
100,user100,hashed_password,user100@hotel.com,Rosalía Flora Pont Salcedo,RECEPCIONISTA,1,2025-06-27 17:20:06
101,user101,hashed_password,user101@hotel.com,Anunciación Arana-Barragán,HUESPED,1,2024-11-06 14:50:42
102,user102,hashed_password,user102@hotel.com,Alejandro Olmo Ribes,HUESPED,1,2025-04-29 23:11:30
103,user103,hashed_password,user103@hotel.com,Mario Mateos Cámara,HUESPED,1,2024-07-28 09:35:47
104,user104,hashed_password,user104@hotel.com,Cristian Seco Fernandez,HUESPED,1,2025-01-21 22:53:36
105,user105,hashed_password,user105@hotel.com,Telmo Salgado Bonilla,HUESPED,1,2025-08-13 08:16:30
106,user106,hashed_password,user106@hotel.com,Abilio René Olivé Antón,HUESPED,1,2025-07-30 13:40:17
107,user107,hashed_password,user107@hotel.com,Lalo del Franch,HUESPED,1,2024-08-06 23:27:57
108,user108,hashed_password,user108@hotel.com,Jose Francisco Hurtado Ochoa,HUESPED,1,2025-11-10 14:10:48
109,user109,hashed_password,user109@hotel.com,Aurelia Águila Parra,HUESPED,1,2024-09-15 13:58:05
110,user110,hashed_password,user110@hotel.com,Selena Tamayo Castillo,ADMIN,1,2025-12-24 16:31:31
111,user111,hashed_password,user111@hotel.com,Jose Angel Prado Lago,RECEPCIONISTA,1,2025-09-20 23:18:10
112,user112,hashed_password,user112@hotel.com,África Noelia Chaparro Cáceres,HUESPED,1,2026-03-24 04:36:04
113,user113,hashed_password,user113@hotel.com,Lourdes Cornejo Estrada,HUESPED,1,2025-11-04 22:22:31
114,user114,hashed_password,user114@hotel.com,Paco Sobrino Anguita,HUESPED,1,2025-12-13 08:16:53
115,user115,hashed_password,user115@hotel.com,Urbano Campillo Valera,RECEPCIONISTA,1,2024-06-27 19:58:01
116,user116,hashed_password,user116@hotel.com,Ángeles Borja Martínez,RECEPCIONISTA,1,2025-10-26 00:31:32
117,user117,hashed_password,user117@hotel.com,Marcio Barranco Raya,HUESPED,1,2025-10-03 04:05:46
118,user118,hashed_password,user118@hotel.com,Loreto Olivé Millán,HUESPED,1,2024-06-23 06:49:41
119,user119,hashed_password,user119@hotel.com,Alex Alfaro Díez,HUESPED,1,2025-09-27 08:37:21
120,user120,hashed_password,user120@hotel.com,Godofredo Salvador Capdevila,HUESPED,1,2024-06-24 13:53:08
121,user121,hashed_password,user121@hotel.com,Piedad del Checa,HUESPED,1,2025-02-18 04:58:41
122,user122,hashed_password,user122@hotel.com,Carmela Orozco Batalla,HUESPED,1,2025-11-03 02:42:24
123,user123,hashed_password,user123@hotel.com,Natanael Aroca Ortiz,HUESPED,1,2025-03-09 11:31:38
124,user124,hashed_password,user124@hotel.com,Bartolomé de Andres,HUESPED,1,2025-03-27 11:08:35
125,user125,hashed_password,user125@hotel.com,Gustavo Rodriguez Córdoba,HUESPED,1,2025-06-18 12:04:31
126,user126,hashed_password,user126@hotel.com,Gaspar Lledó Hoyos,HUESPED,1,2024-08-19 18:35:08
127,user127,hashed_password,user127@hotel.com,Sancho Tovar Catalán,HUESPED,1,2026-01-08 08:57:21
128,user128,hashed_password,user128@hotel.com,Celia del Alberto,RECEPCIONISTA,1,2025-08-06 03:33:13
129,user129,hashed_password,user129@hotel.com,Modesto Pujol Ballesteros,RECEPCIONISTA,1,2024-07-14 11:09:24
130,user130,hashed_password,user130@hotel.com,Amaro Perelló Alsina,HUESPED,1,2026-01-17 03:34:10
131,user131,hashed_password,user131@hotel.com,Miguel Acuña Sierra,HUESPED,1,2024-06-01 22:19:41
132,user132,hashed_password,user132@hotel.com,Teodora Carrillo Marín,HUESPED,1,2024-10-30 04:05:47
133,user133,hashed_password,user133@hotel.com,Jerónimo Gordillo Narváez,RECEPCIONISTA,1,2024-07-02 01:49:49
134,user134,hashed_password,user134@hotel.com,Itziar de Castro,RECEPCIONISTA,1,2024-05-23 21:24:26
135,user135,hashed_password,user135@hotel.com,Leonor Pedro Olivé,HUESPED,1,2025-11-27 20:02:03
136,user136,hashed_password,user136@hotel.com,Vera Barberá Cabezas,HUESPED,1,2025-01-23 16:19:34
137,user137,hashed_password,user137@hotel.com,Ainoa Mur Sancho,HUESPED,1,2025-10-30 07:29:43
138,user138,hashed_password,user138@hotel.com,Gracia Pi Ordóñez,HUESPED,1,2025-06-10 03:49:34
139,user139,hashed_password,user139@hotel.com,Camilo Revilla Baró,HUESPED,1,2026-05-17 02:39:16
140,user140,hashed_password,user140@hotel.com,Onofre Cuenca Olmedo,HUESPED,1,2024-12-04 20:56:48
141,user141,hashed_password,user141@hotel.com,Nélida Febe Cadenas Cuervo,HUESPED,1,2026-01-21 20:29:59
142,user142,hashed_password,user142@hotel.com,Carlito Alegre,HUESPED,1,2025-10-31 21:54:24
143,user143,hashed_password,user143@hotel.com,Mirta Castrillo,HUESPED,1,2026-04-02 07:16:11
144,user144,hashed_password,user144@hotel.com,Cayetano de Gascón,RECEPCIONISTA,1,2024-10-02 08:22:34
145,user145,hashed_password,user145@hotel.com,Andrés Cortes Durán,HUESPED,1,2025-09-02 00:55:08
146,user146,hashed_password,user146@hotel.com,Pía Royo,HUESPED,1,2024-07-30 02:03:07
147,user147,hashed_password,user147@hotel.com,Benjamín Guardiola Prada,HUESPED,1,2025-05-17 13:56:28
148,user148,hashed_password,user148@hotel.com,Marcio de Catalán,HUESPED,1,2026-01-27 22:52:08
149,user149,hashed_password,user149@hotel.com,Fabiana de Peralta,HUESPED,1,2025-05-22 14:28:07
150,user150,hashed_password,user150@hotel.com,Reynaldo Balduino Peñalver Pont,HUESPED,1,2026-03-02 04:52:00
151,user151,hashed_password,user151@hotel.com,Evelia Lumbreras Quiroga,ADMIN,1,2026-02-28 21:04:26
152,user152,hashed_password,user152@hotel.com,Adán Casals Cuadrado,HUESPED,1,2025-07-27 04:20:51
153,user153,hashed_password,user153@hotel.com,Julie Parra García,HUESPED,1,2026-04-05 20:29:20
154,user154,hashed_password,user154@hotel.com,Rosalía Cueto Rosa,HUESPED,1,2026-03-31 18:45:59
155,user155,hashed_password,user155@hotel.com,Erasmo del Jáuregui,HUESPED,1,2025-02-22 19:32:03
156,user156,hashed_password,user156@hotel.com,Cruz Ferrero Garay,HUESPED,1,2025-04-11 07:00:32
157,user157,hashed_password,user157@hotel.com,Obdulia Téllez Tena,HUESPED,1,2025-01-28 14:18:48
158,user158,hashed_password,user158@hotel.com,Maribel Vilma Castrillo Aragonés,HUESPED,1,2025-04-17 00:31:02
159,user159,hashed_password,user159@hotel.com,Griselda Alarcón Sanjuan,HUESPED,1,2025-10-30 09:11:41
160,user160,hashed_password,user160@hotel.com,Alejandro Ovidio Herrero Peláez,HUESPED,1,2025-11-14 06:36:27
161,user161,hashed_password,user161@hotel.com,Soraya Luján Jordán,HUESPED,1,2025-03-01 13:54:37
162,user162,hashed_password,user162@hotel.com,Gervasio Montes Priego,HUESPED,1,2024-10-20 01:52:01
163,user163,hashed_password,user163@hotel.com,Gema Rosenda Bosch Pou,HUESPED,1,2026-03-08 16:53:15
164,user164,hashed_password,user164@hotel.com,Josefa Amorós Arroyo,RECEPCIONISTA,1,2025-05-26 02:56:24
165,user165,hashed_password,user165@hotel.com,Fátima Iglesias-Ortuño,RECEPCIONISTA,1,2025-11-17 04:39:46
166,user166,hashed_password,user166@hotel.com,Raúl Galván Bravo,HUESPED,1,2025-02-05 22:54:17
167,user167,hashed_password,user167@hotel.com,Desiderio Botella Simó,HUESPED,1,2025-03-05 21:18:38
168,user168,hashed_password,user168@hotel.com,José Casanovas Santamaría,HUESPED,1,2024-09-30 16:42:17
169,user169,hashed_password,user169@hotel.com,Loreto Lucas Ibarra,HUESPED,1,2026-04-26 08:51:46
170,user170,hashed_password,user170@hotel.com,Marcelino Nadal Mínguez,HUESPED,1,2024-09-25 01:27:32
171,user171,hashed_password,user171@hotel.com,Ruben Varela,RECEPCIONISTA,1,2024-09-04 20:11:37
172,user172,hashed_password,user172@hotel.com,Abigaíl Gárate Aparicio,HUESPED,1,2025-05-28 14:54:02
173,user173,hashed_password,user173@hotel.com,Rita Jordán Poza,HUESPED,1,2025-12-04 23:23:33
174,user174,hashed_password,user174@hotel.com,Juan Francisco Alvarez Lledó,HUESPED,1,2025-09-12 01:36:00
175,user175,hashed_password,user175@hotel.com,Adora Márquez,HUESPED,1,2024-06-02 22:24:34
176,user176,hashed_password,user176@hotel.com,Vidal Orozco Alsina,HUESPED,1,2025-02-04 22:34:36
177,user177,hashed_password,user177@hotel.com,Anastasio Quero Tejera,HUESPED,1,2026-04-01 22:52:12
178,user178,hashed_password,user178@hotel.com,Isaura Cortina Martínez,HUESPED,1,2025-12-12 13:44:29
179,user179,hashed_password,user179@hotel.com,Jose Antonio Garmendia Muñoz,HUESPED,1,2025-01-17 23:09:44
180,user180,hashed_password,user180@hotel.com,Salvador Sotelo Zurita,HUESPED,1,2024-11-18 13:19:28
181,user181,hashed_password,user181@hotel.com,Griselda Rodriguez Ramón,HUESPED,1,2026-03-11 07:33:38
182,user182,hashed_password,user182@hotel.com,Faustino Belda Piñol,HUESPED,1,2025-05-20 09:24:57
183,user183,hashed_password,user183@hotel.com,Francisco Javier Sierra,ADMIN,1,2025-03-17 15:45:29
184,user184,hashed_password,user184@hotel.com,Amador Valdés Laguna,HUESPED,1,2024-08-06 01:59:36
185,user185,hashed_password,user185@hotel.com,Fito del Marín,HUESPED,1,2025-09-05 07:10:36
186,user186,hashed_password,user186@hotel.com,Evangelina Martínez Elorza,HUESPED,1,2025-01-03 17:01:33
187,user187,hashed_password,user187@hotel.com,Amado de Niño,RECEPCIONISTA,1,2025-02-08 19:00:24
188,user188,hashed_password,user188@hotel.com,Paola Asenjo Noguera,HUESPED,1,2025-12-06 00:20:26
189,user189,hashed_password,user189@hotel.com,Valentín Teruel-Gallardo,HUESPED,1,2026-05-05 00:10:45
190,user190,hashed_password,user190@hotel.com,Cesar Gabriel Riba Vargas,HUESPED,1,2025-03-23 04:45:09
191,user191,hashed_password,user191@hotel.com,Severino Miranda Cárdenas,HUESPED,1,2024-08-09 14:49:48
192,user192,hashed_password,user192@hotel.com,Fátima Castelló Novoa,HUESPED,1,2024-11-11 00:56:03
193,user193,hashed_password,user193@hotel.com,Begoña Ángeles Jover Correa,HUESPED,1,2024-12-12 07:54:32
194,user194,hashed_password,user194@hotel.com,Ismael de Nuñez,RECEPCIONISTA,1,2025-02-23 22:19:36
195,user195,hashed_password,user195@hotel.com,Timoteo Villaverde Segarra,HUESPED,1,2025-10-23 18:55:21
196,user196,hashed_password,user196@hotel.com,Úrsula de Vizcaíno,RECEPCIONISTA,1,2025-04-25 11:26:37
197,user197,hashed_password,user197@hotel.com,Cesar Saldaña Lamas,HUESPED,1,2024-12-20 00:03:45
198,user198,hashed_password,user198@hotel.com,Leocadio Contreras Lasa,HUESPED,1,2025-09-05 09:28:21
199,user199,hashed_password,user199@hotel.com,Florencio Sureda Machado,ADMIN,1,2024-09-19 16:02:04
200,user200,hashed_password,user200@hotel.com,Arsenio Salvà-Sanjuan,HUESPED,1,2024-11-22 22:50:32
201,user201,hashed_password,user201@hotel.com,Casemiro Asensio Posada,ADMIN,1,2025-01-13 20:22:52
202,user202,hashed_password,user202@hotel.com,Silvio Vila Recio,RECEPCIONISTA,1,2025-04-06 18:06:02
203,user203,hashed_password,user203@hotel.com,Herminia Andres Alonso,HUESPED,1,2024-08-30 20:51:18
204,user204,hashed_password,user204@hotel.com,Manu Carreño,HUESPED,1,2025-02-05 20:48:06
205,user205,hashed_password,user205@hotel.com,Angélica Delgado Guardiola,HUESPED,1,2026-02-07 14:22:41
206,user206,hashed_password,user206@hotel.com,Martina Escalona Verdejo,HUESPED,1,2025-03-29 16:22:31
207,user207,hashed_password,user207@hotel.com,Itziar Portillo-Espada,HUESPED,1,2025-03-28 23:27:29
208,user208,hashed_password,user208@hotel.com,Modesto Ferreras Mármol,HUESPED,1,2024-06-24 20:45:24
209,user209,hashed_password,user209@hotel.com,Ariel Palau Peinado,HUESPED,1,2024-12-23 17:29:16
210,user210,hashed_password,user210@hotel.com,Maristela Barbero-Ferrán,ADMIN,1,2025-11-15 18:22:36
211,user211,hashed_password,user211@hotel.com,Victorino Vega Barrena,HUESPED,1,2026-04-15 11:11:44
212,user212,hashed_password,user212@hotel.com,Elías Quirós Capdevila,HUESPED,1,2024-12-14 21:03:26
213,user213,hashed_password,user213@hotel.com,Raquel Mosquera Marqués,HUESPED,1,2024-08-13 05:35:32
214,user214,hashed_password,user214@hotel.com,Tristán del Menéndez,HUESPED,1,2025-06-22 06:08:34
215,user215,hashed_password,user215@hotel.com,Eutropio Millán Asensio,ADMIN,1,2024-09-13 18:18:46
216,user216,hashed_password,user216@hotel.com,Olegario de Atienza,ADMIN,1,2026-02-21 10:43:02
217,user217,hashed_password,user217@hotel.com,Yéssica Amaya Bustos,HUESPED,1,2026-03-13 20:28:55
218,user218,hashed_password,user218@hotel.com,Lucas Carrasco Porcel,HUESPED,1,2025-10-11 12:51:33
219,user219,hashed_password,user219@hotel.com,Íñigo Angulo Pino,HUESPED,1,2024-07-18 07:35:38
220,user220,hashed_password,user220@hotel.com,Anacleto Tomé,HUESPED,1,2024-11-04 23:47:39
221,user221,hashed_password,user221@hotel.com,Imelda Portero Ferrer,ADMIN,1,2025-03-07 23:36:07
222,user222,hashed_password,user222@hotel.com,Sol Granados,HUESPED,1,2025-06-28 20:07:20
223,user223,hashed_password,user223@hotel.com,Nazaret Priego Diez,HUESPED,1,2024-12-29 16:38:23
224,user224,hashed_password,user224@hotel.com,María Del Carmen Jordana Cal Crespo,HUESPED,1,2024-09-20 13:31:56
225,user225,hashed_password,user225@hotel.com,María Teresa Marqués Lumbreras,HUESPED,1,2026-04-29 00:48:27
226,user226,hashed_password,user226@hotel.com,Vilma Casas Barranco,HUESPED,1,2025-08-13 16:22:12
227,user227,hashed_password,user227@hotel.com,Susanita Román-Zabaleta,HUESPED,1,2026-01-11 18:51:50
228,user228,hashed_password,user228@hotel.com,Genoveva del Acevedo,RECEPCIONISTA,1,2024-09-17 21:46:50
229,user229,hashed_password,user229@hotel.com,Jose Ramón Puga,HUESPED,1,2025-03-31 10:49:59
230,user230,hashed_password,user230@hotel.com,Félix Pastor Saez Estrada,ADMIN,1,2024-08-19 18:00:06
231,user231,hashed_password,user231@hotel.com,Trinidad del Cerezo,HUESPED,1,2025-06-19 10:50:12
232,user232,hashed_password,user232@hotel.com,Silvestre Tomas,HUESPED,1,2025-09-09 06:44:25
233,user233,hashed_password,user233@hotel.com,Carmela Cuevas Ruano,HUESPED,1,2025-12-20 14:01:53
234,user234,hashed_password,user234@hotel.com,Edelmira Cobos Nogués,HUESPED,1,2024-07-10 19:16:44
235,user235,hashed_password,user235@hotel.com,Baldomero Ugarte Revilla,HUESPED,1,2025-10-15 12:10:17
236,user236,hashed_password,user236@hotel.com,Godofredo Agustí Téllez,HUESPED,1,2024-08-17 11:01:56
237,user237,hashed_password,user237@hotel.com,Julio César Melero-Manuel,RECEPCIONISTA,1,2025-09-11 04:47:04
238,user238,hashed_password,user238@hotel.com,Feliciana Doménech Azcona,HUESPED,1,2024-10-30 22:28:13
239,user239,hashed_password,user239@hotel.com,Otilia Carrillo Estrada,HUESPED,1,2025-06-16 17:57:10
240,user240,hashed_password,user240@hotel.com,Elisabet Santiago Prats,HUESPED,1,2025-06-08 01:11:23
241,user241,hashed_password,user241@hotel.com,Brígida Mariana Zabaleta Caparrós,HUESPED,1,2025-12-01 00:42:15
242,user242,hashed_password,user242@hotel.com,Juliana Villaverde Baeza,HUESPED,1,2025-11-20 15:55:24
243,user243,hashed_password,user243@hotel.com,Ariel Luna Alegre,HUESPED,1,2025-07-10 23:29:02
244,user244,hashed_password,user244@hotel.com,Anastasio Calvet-Sabater,RECEPCIONISTA,1,2025-04-28 14:40:08
245,user245,hashed_password,user245@hotel.com,Aroa Olmo Grau,HUESPED,1,2025-07-30 04:21:02
246,user246,hashed_password,user246@hotel.com,Kike Reig,HUESPED,1,2025-04-17 19:34:42
247,user247,hashed_password,user247@hotel.com,Teodosio Donoso Cuesta,HUESPED,1,2025-03-24 15:07:46
248,user248,hashed_password,user248@hotel.com,Bernardita Menendez,HUESPED,1,2025-11-16 11:07:57
249,user249,hashed_password,user249@hotel.com,Ruth Aguilera Oliveras,HUESPED,1,2025-05-05 19:05:35
250,user250,hashed_password,user250@hotel.com,Rosalina Cuesta,HUESPED,1,2025-11-18 23:54:30
251,user251,hashed_password,user251@hotel.com,Modesto Durán-Trujillo,HUESPED,1,2024-05-17 22:34:03
252,user252,hashed_password,user252@hotel.com,Flavio Calderon Sobrino,HUESPED,1,2024-07-06 17:54:08
253,user253,hashed_password,user253@hotel.com,Basilio Baena Arrieta,HUESPED,1,2025-02-22 02:40:28
254,user254,hashed_password,user254@hotel.com,Rocío Dafne Cornejo Diaz,HUESPED,1,2024-07-25 05:13:26
255,user255,hashed_password,user255@hotel.com,Silvestre Aguiló Frutos,ADMIN,1,2024-06-14 14:08:16
